id,uuid,product_id,category_id,category_name,product_name,product_price,product_image,product_link,product_api_sold,product_web_sold,product_vists
63,cl9uh2vzj003wupa0moclmxr8,MLV511064707,MLV1648,Computación,Cargador Laptop Universal De 12 A 24v Hp Sony Lenovo ,8.8,http://http2.mlstatic.com/D_957441-MLV31250367427_062019-I.jpg,https://articulo.mercadolibre.com.ve/MLV-511064707-cargador-laptop-universal-de-12-a-24v-hp-sony-lenovo-_JM,500,702,148
3,cl9ugo92g0004upb417xgv0ju,MLV563713075,MLV1747,Accesorios para Vehículos,Pila Bomba Gasolina Univer Aveo Optra Corsa Palio Spark ,10,http://http2.mlstatic.com/D_813040-MLV49838006484_052022-I.jpg,https://articulo.mercadolibre.com.ve/MLV-563713075-pila-bomba-gasolina-univer-aveo-optra-corsa-palio-spark-_JM,500,700,636
70,cl9uh3335004aupa0yxda4jot,MLV557038459,MLV1276,Deportes y Fitness,Vaso Contigo Byron24oz Por Scubafoto,20,http://http2.mlstatic.com/D_737912-MLV50622535473_072022-I.jpg,https://articulo.mercadolibre.com.ve/MLV-557038459-vaso-contigo-byron24oz-por-scubafoto-_JM,500,693,803
16,cl9ugq4at000uupb4et3e9e5r,MLV470484751,MLV1747,Accesorios para Vehículos,Cornetas Pioneer 6x9 Ts-a6995s 600w 5 Vias Originales,32,http://http2.mlstatic.com/D_968032-MLV50745095467_072022-I.jpg,https://articulo.mercadolibre.com.ve/MLV-470484751-cornetas-pioneer-6x9-ts-a6995s-600w-5-vias-originales-_JM,500,691,290
112,cl9uh5pw3006supa0djh8p9m6,MLV537042295,MLV424985,Herramientas,Cautin De Soldar De 40w 110v,2,http://http2.mlstatic.com/D_683778-MLV40573408532_012020-I.jpg,https://articulo.mercadolibre.com.ve/MLV-537042295-cautin-de-soldar-de-40w-110v-_JM,500,690,295
80,cl9uh3dxx004uupa06kqj91ui,MLV533719361,MLV5726,Electrodomésticos,"Licuadora Oster Clasica 4655 Vaso Vidrio, Picatodo, Original",48,http://http2.mlstatic.com/D_864521-MLV50231294479_062022-I.jpg,https://articulo.mercadolibre.com.ve/MLV-533719361-licuadora-oster-clasica-4655-vaso-vidrio-picatodo-original-_JM,500,688,762
14,cl9ugpzn3000qupb4qezcuc21,MLV550615126,MLV1747,Accesorios para Vehículos,Cables De Bujias Fiesta Power Max Move Ecosport 1.6 Ford Ka,8.9,http://http2.mlstatic.com/D_760627-MLV32828846269_112019-I.jpg,https://articulo.mercadolibre.com.ve/MLV-550615126-cables-de-bujias-fiesta-power-max-move-ecosport-16-ford-ka-_JM,500,688,436
146,cl9uh6rcd008supa08ayjkk9t,MLV558651594,MLV1430,"Ropa, Zapatos y Accesorios",Pantalones Joggers Para Caballeros ,17,http://http2.mlstatic.com/D_835678-MLV42709396117_072020-I.jpg,https://articulo.mercadolibre.com.ve/MLV-558651594-pantalones-joggers-para-caballeros-_JM,500,687,597
82,cl9uh3fei004yupa0ljddqrfx,MLV536242020,MLV5726,Electrodomésticos,Plancha Remington Aguacate + Vitamina E Original,28,http://http2.mlstatic.com/D_610660-MLV46081719566_052021-I.jpg,https://articulo.mercadolibre.com.ve/MLV-536242020-plancha-remington-aguacate-vitamina-e-original-_JM,500,686,859
108,cl9uh5m2x006iupa03w9guh44,MLV575695685,MLV424985,Herramientas,Cautin Soldador Estaño Temperatura Ajustable 110v 60w,5.25,http://http2.mlstatic.com/D_662090-MLV49276876551_032022-I.jpg,https://articulo.mercadolibre.com.ve/MLV-575695685-cautin-soldador-estano-temperatura-ajustable-110v-60w-_JM,500,676,516
135,cl9uh6e8k0086upa05g8t4nyz,MLV506441832,MLV1132,Juegos y Juguetes,Monopatin Scooter De 3 Ruedas Para Niño Y Niña,14.9,http://http2.mlstatic.com/D_950257-MLV43282299650_082020-I.jpg,https://articulo.mercadolibre.com.ve/MLV-506441832-monopatin-scooter-de-3-ruedas-para-nino-y-nina-_JM,500,669,417
66,cl9uh2zjv0042upa02ydog0mq,MLV573843075,MLV1500,Construcción,Cerradura De Pomo Para Puertas De Madera Tres Llaves 6vdes. ,6.99,http://http2.mlstatic.com/D_686920-MLV44604964000_012021-I.jpg,https://articulo.mercadolibre.com.ve/MLV-573843075-cerradura-de-pomo-para-puertas-de-madera-tres-llaves-6vdes-_JM,500,667,301
139,cl9uh6kk0008eupa0uf6lzhsz,MLV582487713,MLV3937,"Relojes, Joyas y Bisutería",Reloj Inteligente D20s Bluetooth Ios Android,6.99,http://http2.mlstatic.com/D_994195-MLV50295131795_062022-I.jpg,https://articulo.mercadolibre.com.ve/MLV-582487713-reloj-inteligente-d20s-bluetooth-ios-android-_JM,500,650,254
84,cl9uh3h330052upa0gdcjnkmi,MLV556991193,MLV5726,Electrodomésticos,Kit Oster Completo Vaso D Vidrio Cuchilla Tapa Rosca Acople ,13.99,http://http2.mlstatic.com/D_944612-MLV49622620934_042022-I.jpg,https://articulo.mercadolibre.com.ve/MLV-556991193-kit-oster-completo-vaso-d-vidrio-cuchilla-tapa-rosca-acople-_JM,500,646,254
99,cl9uh5d91005yupa0s74ufrdi,MLV574301661,MLV1246,Estética y Belleza,Colonia Shaiel Rene Desses   100 Cm3 C/u,3,http://http2.mlstatic.com/D_636091-MLV32043758406_092019-I.jpg,https://articulo.mercadolibre.com.ve/MLV-574301661-colonia-shaiel-rene-desses-100-cm3-cu-_JM,500,639,308
119,cl9uh5wvg0076upa0ljq4b2l3,MLV575913134,MLV1574,Hogar y Muebles,Termometro Digital De Cocina Para Alimentos,3,http://http2.mlstatic.com/D_971285-MLV48245609067_112021-I.jpg,https://articulo.mercadolibre.com.ve/MLV-575913134-termometro-digital-de-cocina-para-alimentos-_JM,500,638,529
91,cl9uh3nc4005gupa08co5bj1d,MLV464330031,MLV1000,"Electrónica, Audio y Video",Audifonos Monster Beats Solo2 Bluetooh Mp3 Mic Fm + Cable,6.49,http://http2.mlstatic.com/D_838011-MLV44693506189_012021-I.jpg,https://articulo.mercadolibre.com.ve/MLV-464330031-audifonos-monster-beats-solo2-bluetooh-mp3-mic-fm-cable-_JM,500,635,411
96,cl9uh59dm005qupa08nevtyac,MLV566121440,MLV1000,"Electrónica, Audio y Video",Cable Hdmi 3.6 Metros Original Nuevo Full Hd 1800 ,2.5,http://http2.mlstatic.com/D_884511-MLV43629123360_092020-I.jpg,https://articulo.mercadolibre.com.ve/MLV-566121440-cable-hdmi-36-metros-original-nuevo-full-hd-1800-_JM,500,635,125
72,cl9uh34pc004eupa0thskdwoa,MLV706738908,MLV1276,Deportes y Fitness,"Cuerdas De Saltar Ejercicio, Crossfit, Gym",5,http://http2.mlstatic.com/D_818276-MLV50415294490_062022-I.jpg,https://articulo.mercadolibre.com.ve/MLV-706738908-cuerdas-de-saltar-ejercicio-crossfit-gym-_JM,500,634,82
90,cl9uh3mkk005eupa0qvwdcwfo,MLV706620016,MLV1000,"Electrónica, Audio y Video",Audifonos Inalambrico Bluetooth I12 Tws 5.0,7.99,http://http2.mlstatic.com/D_912900-MLV51131739344_082022-I.jpg,https://articulo.mercadolibre.com.ve/MLV-706620016-audifonos-inalambrico-bluetooth-i12-tws-50-_JM,500,633,878
88,cl9uh3kz8005aupa0lujviykb,MLV567151324,MLV1000,"Electrónica, Audio y Video",Corneta Inalambrica Bluetooth Waterproof,3.99,http://http2.mlstatic.com/D_836749-MLV51291997034_082022-I.jpg,https://articulo.mercadolibre.com.ve/MLV-567151324-corneta-inalambrica-bluetooth-waterproof-_JM,500,632,673
132,cl9uh696o0080upa0zefos0v9,MLV542064181,MLV1499,Industrias,Bolsas Plásticas Boutique 25x35 100 Unidades.,9,http://http2.mlstatic.com/D_729634-MLV43323375262_082020-I.jpg,https://articulo.mercadolibre.com.ve/MLV-542064181-bolsas-plasticas-boutique-25x35-100-unidades-_JM,500,628,192
65,cl9uh2y790040upa0xfk6co68,MLV559098832,MLV1144,Consolas y Videojuegos,Control Sony Ps3 Inalambrico Dualshock 3 Sixaxis,10,http://http2.mlstatic.com/D_852056-MLV51077849746_082022-I.jpg,https://articulo.mercadolibre.com.ve/MLV-559098832-control-sony-ps3-inalambrico-dualshock-3-sixaxis-_JM,500,627,374
140,cl9uh6lr4008gupa0kxnhcg8m,MLV544070603,MLV3937,"Relojes, Joyas y Bisutería",Reloj Táctico Inteligente Spovan Digital Caballero Deportivo,20,http://http2.mlstatic.com/D_934487-MLV31641626912_072019-I.jpg,https://articulo.mercadolibre.com.ve/MLV-544070603-reloj-tactico-inteligente-spovan-digital-caballero-deportivo-_JM,500,626,451
113,cl9uh5qrl006uupa0g7eagb5a,MLV549481143,MLV424985,Herramientas,Juego De Dados Ratchet 40 Piezas Caja Herramientas Estuche,7.99,http://http2.mlstatic.com/D_739156-MLV32621446685_102019-I.jpg,https://articulo.mercadolibre.com.ve/MLV-549481143-juego-de-dados-ratchet-40-piezas-caja-herramientas-estuche-_JM,500,624,240
